№,Место,Отношение зарплаты к стоимости стандартного потребительского набора,Среднемесячная чистая зарплата
1,Москва,"4,00","103,1"
2,Южно-Сахалинск,"3,81","97,4"
3,Салехард,"3,62","94,9"
4,Сургут,"3,24","77,0"
5,Ханты-Мансийск,"3,18","75,4"
6,Магадан,"3,11","89,4"
7,Петропавловск-Камчатский,"2,93","87,4"
8,Санкт-Петербург,"2,92","66,5"
9,Тюмень,"2,89","56,1"
10,Нижневартовск,"2,89","67,8"
11,Мурманск,"2,78","66,4"
12,Череповец,"2,72","52,6"
13,Якутск,"2,70","69,9"
14,Нарьян-Мар,"2,70","75,1"
15,Иркутск,"2,66","50,0"
16,Ангарск,"2,62","46,4"
17,Братск,"2,59","49,1"
18,Красноярск,"2,55","49,4"
19,Магнитогорск,"2,51","42,2"
20,Кемерово,"2,50","43,4"
21,Екатеринбург,"2,47","48,6"
22,Томск,"2,46","46,8"
23,Владивосток,"2,43","55,9"
24,Уфа,"2,42","44,7"
25,Кызыл,"2,42","44,3"
26,Казань,"2,37","42,1"
27,Подольск,"2,37","53,0"
28,Хабаровск,"2,35","54,8"
29,Новокузнецк,"2,35","42,1"
30,Абакан,"2,35","43,2"
31,Благовещенск,"2,27","46,0"
32,Краснодар,"2,26","43,8"
33,Чита,"2,25","44,7"
34,Сыктывкар,"2,25","46,7"
35,Челябинск,"2,23","39,1"
36,Нижний Новгород,"2,23","43,6"
37,Липецк,"2,22","38,8"
38,Новосибирск,"2,22","44,1"
39,Новороссийск,"2,22","44,6"
40,Архангельск,"2,21","48,9"
41,Омск,"2,21","38,3"
42,Оренбург,"2,20","38,7"
43,Петрозаводск,"2,17","45,8"
44,Ростов-на-Дону,"2,17","40,5"
45,Пермь,"2,16","42,8"
46,Белгород,"2,13","36,2"
47,Воронеж,"2,13","37,4"
48,Самара,"2,12","40,9"
49,Калуга,"2,09","41,0"
50,Саратов,"2,08","35,4"
51,Комсомольск-на-Амуре,"2,07","46,5"
52,Тула,"2,05","39,8"
53,Улан-Удэ,"2,04","39,3"
54,Ижевск,"2,04","37,1"
55,Набережные Челны,"2,02","34,6"
56,Тверь,"2,02","39,7"
57,Волгоград,"2,02","34,3"
58,Рязань,"2,00","37,1"
59,Вологда,"2,00","38,9"
60,Нижний Тагил,"1,97","35,9"
61,Тольятти,"1,97","35,2"
62,Симферополь,"1,96","35,8"
63,Калининград,"1,96","39,9"
64,Великий Новгород,"1,95","37,3"
65,Астрахань,"1,95","35,5"
66,Ярославль,"1,95","38,1"
67,Стерлитамак,"1,93","32,7"
68,Чебоксары,"1,91","32,1"
69,Горно-Алтайск,"1,91","38,4"
70,Пенза,"1,90","33,0"
71,Орск,"1,89","31,2"
72,Саранск,"1,87","30,0"
73,Киров,"1,87","34,1"
74,Биробиджан,"1,87","40,6"
75,Барнаул,"1,85","34,0"
76,Ставрополь,"1,85","35,4"
77,Курск,"1,84","31,3"
78,Орёл,"1,84","31,7"
79,Кострома,"1,81","33,2"
80,Сочи,"1,79","37,0"
81,Ульяновск,"1,79","32,5"
82,Владимир,"1,78","35,0"
83,Севастополь,"1,78","33,8"
84,Курган,"1,77","32,8"
85,Йошкар-Ола,"1,77","29,8"
86,Дзержинск,"1,77","34,0"
87,Грозный,"1,75","32,4"
88,Брянск,"1,74","32,9"
89,Тамбов,"1,74","30,4"
90,Нальчик,"1,73","30,3"
91,Таганрог,"1,73","31,9"
92,Смоленск,"1,72","31,8"
93,Владикавказ,"1,71","29,4"
94,Псков,"1,71","32,7"
95,Майкоп,"1,69","30,2"
96,Черкесск,"1,67","30,2"
97,Иваново,"1,65","30,6"
98,Элиста,"1,65","29,9"
99,Махачкала,"1,53","29,8"
100,Шахты,"1,43","28,5"
